"R‚f‚rence
immobilisation";"D‚signation
";"Date 
d'acquisition";"Date de
mise en service";"Valeur
d'acquisition";"Valeur
r‚siduelle";;"Groupe 
immobilisation";"Libell‚ groupe
immobilisation"
MOB/000398/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000399/CAB100;Bureau informatique;01/03/2004;01/03/2004;257352;0;;881;MOBILIER DE BUREAU
MOB/000400/CAB100;Bureau informatique;01/03/2004;01/03/2004;257352;0;;881;MOBILIER DE BUREAU
MOB/000401/CAB100;Bureau informatique;01/03/2004;01/03/2004;257352;0;;881;MOBILIER DE BUREAU
MOB/000402/CAB100;Bureau informatique;01/03/2004;01/03/2004;257352;0;;881;MOBILIER DE BUREAU
MOB/000403/CAB100;Poste de travail G15 083-12 & poste;01/03/2004;01/03/2004;244703;0;;881;MOBILIER DE BUREAU
MOB/000404/CAB100;chaise ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000405/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000406/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000407/CAB100;chaise collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000408/CAB100;chaise collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000409/CAB100;chaise collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000410/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000411/CAB100;chaise collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000412/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000413/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000414/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000415/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000416/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000417/CAB100;chaise collectivit‚ Elena;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000418/CAB100;chaise collectivit‚ alena;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000419/CAB100;chaise collectivit‚ alena;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000420/CAB100;chaise collectivt‚ alena;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000421/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000422/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000423/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000424/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000425/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000426/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000428/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000429/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000430/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000431/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000432/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000433/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000434/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000435/CAB100;chaises collectivit‚ ‚l‚na;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000436/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000437/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000438/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000439/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000440/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000441/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000442/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000443/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000444/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000445/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000446/CAB100;chaises directeur;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000447/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000448/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000449/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000450/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000451/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000452/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000453/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000454/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000455/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000456/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000457/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000458/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000459/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000460/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000461/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000462/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000463/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000464/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000465/CAB100;Chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000466/CAB100;Chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000467/CAB100;chaises pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000468/CAB100;chaises pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000469/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000470/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000471/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000472/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000473/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000474/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000475/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000476/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000477/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000478/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000479/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000480/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000481/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000482/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000483/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000484/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000485/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000486/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000487/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000488/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000489/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000490/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000491/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000492/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000493/CAB100;chaise pliante;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000494/CAB100;chaise pliantes collectivit‚;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000496/CAB100;chaises pliantes;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000505/CAB100;Fauteuil ACTIVA;01/03/2004;01/03/2004;219069;0;;881;MOBILIER DE BUREAU
MOB/000506/CAB100;Fauteuil ACTIVA;01/03/2004;01/03/2004;219069;0;;881;MOBILIER DE BUREAU
MOB/000507/CAB100;Fauteuil ACTIVA;01/03/2004;01/03/2004;219069;0;;881;MOBILIER DE BUREAU
MOB/000508/CAB100;SiŠge SYDNEY PRO;01/03/2004;01/03/2004;151907;0;;881;MOBILIER DE BUREAU
MOB/000509/CAB100;SiŠge SYDNEY PRO;01/03/2004;01/03/2004;151907;0;;881;MOBILIER DE BUREAU
MOB/000510/CAB100;SiŠge SYDNEY PRO;01/03/2004;01/03/2004;151907;0;;881;MOBILIER DE BUREAU
MOB/000511/CAB100;SiŠge SYDNEY PRO;01/03/2004;01/03/2004;151907;0;;881;MOBILIER DE BUREAU
MOB/000512/CAB100;Plateau 1/4 de rond;01/03/2004;01/03/2004;73951;0;;881;MOBILIER DE BUREAU
MOB/000513/CAB100;Plateau 1/4 de rond;01/03/2004;01/03/2004;73951;0;;881;MOBILIER DE BUREAU
MOB/000514/CAB100;Plateau 1/4 de rond;01/03/2004;01/03/2004;73951;0;;881;MOBILIER DE BUREAU
MOB/000515/CAB100;Plateau 1/4 de rond;01/03/2004;01/03/2004;73951;0;;881;MOBILIER DE BUREAU
MOB/000516/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000517/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000518/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000519/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000520/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000521/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000522/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000523/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000524/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000525/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000526/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000527/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000528/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000529/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000530/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000531/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000532/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000533/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000534/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000535/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000536/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000537/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000538/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000539/CAB100;Bloc trapps H 1,05*L0,41*P0,34;01/03/2004;01/03/2004;161359;0;;881;MOBILIER DE BUREAU
MOB/000540/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000541/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000542/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000543/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000544/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000545/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000546/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000547/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000548/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000549/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000550/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000551/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000552/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000553/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000554/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000555/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000556/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000557/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000558/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000559/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000560/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000561/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000562/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000563/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000564/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000565/CAB100;Poste de travail polyvalent;01/03/2004;01/03/2004;160381;0;;881;MOBILIER DE BUREAU
MOB/000566/CAB100;Poste de travail et poste informati;01/03/2004;01/03/2004;244703;0;;881;MOBILIER DE BUREAU
MOB/000567/CAB100;Poste de travail et poste informati;01/03/2004;01/03/2004;244703;0;;881;MOBILIER DE BUREAU
MOB/000568/CAB100;Poste de travail et poste informati;01/03/2004;01/03/2004;244703;0;;881;MOBILIER DE BUREAU
MOB/000569/CAB100;Poste de travail et poste informati;01/03/2004;01/03/2004;244703;0;;881;MOBILIER DE BUREAU
MOB/000570/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000571/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000572/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000573/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000574/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000575/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000576/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000577/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000578/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000579/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000580/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000581/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000582/CAB100;BibliothŠque;01/03/2004;01/03/2004;223622;0;;881;MOBILIER DE BUREAU
MOB/000583/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000584/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000585/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000586/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000587/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000588/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000589/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000590/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000591/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000592/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000593/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000594/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000595/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000596/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000597/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000598/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000599/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000600/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000601/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000602/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000603/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000604/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000605/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000606/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000607/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000608/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000609/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000610/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000611/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000612/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000613/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000614/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000615/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000616/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000617/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000618/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000619/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000620/CAB100;Chaise collectivit‚s ELENA;01/03/2004;01/03/2004;80267;0;;881;MOBILIER DE BUREAU
MOB/000621/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000622/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000623/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000624/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000625/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000626/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000627/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000628/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000629/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000630/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000631/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
MOB/000632/CAB100;Chaise pliante collectivit‚s;01/03/2004;01/03/2004;65519;0;;881;MOBILIER DE BUREAU
